Build Period,Lot Area,House Area,Year Sold,Sale Price
1960-1979,12493,2867.0,2008,141000
Pre 1940,13728,3775.0,2008,235000
1960-1979,10710,2802.0,2009,148800
2000+,8470,3621.0,2009,235000
1980-1999,8480,3280.0,2008,163000
2000+,11923,4726.0,2009,239000
Pre 1940,11672,2010.0,2006,109000
Pre 1940,6120,3717.0,2008,123500
2000+,12552,3752.0,2010,254900
1940-1959,17755,3600.0,2006,149900
1960-1979,10768,3423.0,2007,218000
1940-1959,5400,1992.0,2006,117000
1940-1959,8212,2358.0,2009,122000
1940-1959,10050,2768.0,2007,129500
Pre 1940,6000,2448.0,2009,117000
Pre 1940,21780,1233.0,2009,57625
1960-1979,11327,3018.0,2006,153600
Pre 1940,6240,2811.0,2007,127500
1960-1979,8125,1716.0,2006,88000
Pre 1940,5142,2446.0,2008,108000
2000+,9196,3943.0,2010,201000
1960-1979,7931,2846.0,2008,155000
1960-1979,6897,2444.0,2010,127000
2000+,7162,3361.0,2006,196500
1940-1959,14175,2988.0,2008,185000
1940-1959,7150,3082.0,2007,115000
2000+,10420,3006.0,2010,186000
2000+,9591,4811.0,2007,317000
1940-1959,7535,2418.0,2007,120000
2000+,9967,2314.0,2007,170000
1960-1979,10400,3385.0,2008,159900
1940-1959,9600,3040.0,2010,153000
1960-1979,7700,3161.0,2010,155000
2000+,10928,2674.0,2009,184000
2000+,9139,3693.0,2009,245000
1980-1999,10380,5105.0,2007,301000
Pre 1940,7518,2188.0,2006,116500
2000+,14598,3613.0,2008,214000
1940-1959,8000,2184.0,2009,132000
1940-1959,9525,2950.0,2010,128000
2000+,8935,3196.0,2009,195000
1980-1999,10437,5343.0,2008,350000
1980-1999,10859,3322.0,2009,145000
1940-1959,8712,3054.0,2009,153000
1940-1959,10152,2812.0,2006,153000
Pre 1940,7008,1448.0,2006,86900
1980-1999,7937,2714.0,2006,142500
1940-1959,8235,2560.0,2008,125000
1960-1979,9308,2278.0,2006,126000
2000+,12589,2676.0,2009,174000
1960-1979,9457,3175.0,2007,155000
Pre 1940,6000,2268.0,2008,119000
1980-1999,14311,4735.0,2008,306000
2000+,12378,4931.0,2006,360000
2000+,13501,4184.0,2007,255000
Pre 1940,8850,2730.0,2006,144000
Pre 1940,13360,2272.0,2009,163500
1960-1979,9600,2928.0,2006,158000
1940-1959,7407,3229.0,2010,149700
Pre 1940,21780,2685.0,2006,195000
Pre 1940,5684,2009.0,2006,110000
2000+,14260,4455.0,2008,250000
1940-1959,13650,3423.0,2006,172500
1960-1979,11700,3312.0,2007,164000
2000+,8333,2843.0,2007,168675
1940-1959,7440,2758.0,2009,125000
1960-1979,7340,2400.0,2007,110000
1960-1979,14680,3336.0,2009,155000
2000+,14418,4969.0,2008,383000
